"unique_item_no","plots_with_labels","images","instructions","size_h","size_w","colour","masks_with_labels"
"15","all_plots/4_line_HG_l_40_h_22.png","4_line_HG_l_40_h_22.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask15.png"
"16","all_plots/4_line_LG_l_2_h_9.png","4_line_LG_l_2_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask16.png"
"17","all_plots/5_bar_HG_l_35_h_28.png","5_bar_HG_l_35_h_28.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask17.png"
"18","all_plots/5_bar_LG_l_5_h_9.png","5_bar_LG_l_5_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask18.png"
"19","all_plots/5_line_HG_l_35_h_28.png","5_line_HG_l_35_h_28.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask19.png"
"20","all_plots/5_line_LG_l_5_h_9.png","5_line_LG_l_5_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask20.png"
"21","all_plots/6_bar_HG_l_38_h_39.png","6_bar_HG_l_38_h_39.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask21.png"
"22","all_plots/6_bar_LG_l_10_h_6.png","6_bar_LG_l_10_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask22.png"
"23","all_plots/6_line_HG_l_38_h_39.png","6_line_HG_l_38_h_39.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask23.png"
"24","all_plots/6_line_LG_l_10_h_6.png","6_line_LG_l_10_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask24.png"
"25","all_plots/7_bar_HG_l_18_h_23.png","7_bar_HG_l_18_h_23.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask25.png"
"26","all_plots/7_bar_LG_l_4_h_1.png","7_bar_LG_l_4_h_1.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask26.png"
"27","all_plots/7_line_HG_l_18_h_23.png","7_line_HG_l_18_h_23.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask27.png"
"28","all_plots/7_line_LG_l_4_h_1.png","7_line_LG_l_4_h_1.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask28.png"
"29","all_plots/8_bar_HG_l_17_h_26.png","8_bar_HG_l_17_h_26.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask29.png"
"30","all_plots/8_bar_LG_l_2_h_8.png","8_bar_LG_l_2_h_8.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask30.png"
"31","all_plots/8_line_HG_l_17_h_26.png","8_line_HG_l_17_h_26.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask31.png"
"32","all_plots/8_line_LG_l_2_h_8.png","8_line_LG_l_2_h_8.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask32.png"
"33","all_plots/9_bar_HG_l_35_h_10.png","9_bar_HG_l_35_h_10.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask33.png"
"34","all_plots/9_bar_LG_l_2_h_10.png","9_bar_LG_l_2_h_10.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask34.png"
"35","all_plots/9_line_HG_l_35_h_10.png","9_line_HG_l_35_h_10.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask35.png"
"36","all_plots/9_line_LG_l_2_h_10.png","9_line_LG_l_2_h_10.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask36.png"
"37","all_plots/10_bar_HG_l_17_h_38.png","10_bar_HG_l_17_h_38.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask37.png"
"38","all_plots/10_bar_LG_l_5_h_4.png","10_bar_LG_l_5_h_4.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask38.png"
"39","all_plots/10_line_HG_l_17_h_38.png","10_line_HG_l_17_h_38.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask39.png"
"40","all_plots/10_line_LG_l_5_h_4.png","10_line_LG_l_5_h_4.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask40.png"
"41","all_plots/11_bar_HG_l_2_h_6.png","11_bar_HG_l_2_h_6.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask41.png"
"42","all_plots/11_bar_LG_l_2_h_6.png","11_bar_LG_l_2_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask42.png"
"43","all_plots/11_line_HG_l_2_h_6.png","11_line_HG_l_2_h_6.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask43.png"
"44","all_plots/11_line_LG_l_2_h_6.png","11_line_LG_l_2_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask44.png"
"45","all_plots/12_bar_HG_l_10_h_3.png","12_bar_HG_l_10_h_3.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask45.png"
"46","all_plots/12_bar_LG_l_10_h_3.png","12_bar_LG_l_10_h_3.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask46.png"
"47","all_plots/12_line_HG_l_10_h_3.png","12_line_HG_l_10_h_3.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask47.png"
"48","all_plots/12_line_LG_l_10_h_3.png","12_line_LG_l_10_h_3.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask48.png"
"49","all_plots/13_bar_HG_l_6_h_5.png","13_bar_HG_l_6_h_5.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask49.png"
"50","all_plots/13_bar_LG_l_6_h_5.png","13_bar_LG_l_6_h_5.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask50.png"
"51","all_plots/13_line_HG_l_6_h_5.png","13_line_HG_l_6_h_5.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask51.png"
"52","all_plots/13_line_LG_l_6_h_5.png","13_line_LG_l_6_h_5.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask52.png"
"53","all_plots/14_bar_HG_l_30_h_5.png","14_bar_HG_l_30_h_5.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask53.png"
"54","all_plots/14_bar_LG_l_1_h_5.png","14_bar_LG_l_1_h_5.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask54.png"
"55","all_plots/14_line_HG_l_30_h_5.png","14_line_HG_l_30_h_5.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask55.png"
"56","all_plots/14_line_LG_l_1_h_5.png","14_line_LG_l_1_h_5.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask56.png"
"57","all_plots/15_bar_HG_l_24_h_6.png","15_bar_HG_l_24_h_6.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask57.png"
"58","all_plots/15_bar_LG_l_2_h_6.png","15_bar_LG_l_2_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask58.png"
"59","all_plots/15_line_HG_l_24_h_6.png","15_line_HG_l_24_h_6.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask59.png"
"60","all_plots/15_line_LG_l_2_h_6.png","15_line_LG_l_2_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask60.png"
"61","all_plots/16_bar_HG_l_31_h_28.png","16_bar_HG_l_31_h_28.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask61.png"
"62","all_plots/16_bar_LG_l_7_h_9.png","16_bar_LG_l_7_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask62.png"
"63","all_plots/16_line_HG_l_31_h_28.png","16_line_HG_l_31_h_28.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask63.png"
"64","all_plots/16_line_LG_l_7_h_9.png","16_line_LG_l_7_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask64.png"
"65","all_plots/17_bar_HG_l_12_h_2.png","17_bar_HG_l_12_h_2.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask65.png"
"66","all_plots/17_bar_LG_l_1_h_2.png","17_bar_LG_l_1_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask66.png"
"67","all_plots/17_line_HG_l_12_h_2.png","17_line_HG_l_12_h_2.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask67.png"
"68","all_plots/17_line_LG_l_1_h_2.png","17_line_LG_l_1_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask68.png"
"69","all_plots/18_bar_HG_l_21_h_15.png","18_bar_HG_l_21_h_15.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask69.png"
"70","all_plots/18_bar_LG_l_5_h_3.png","18_bar_LG_l_5_h_3.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask70.png"
"71","all_plots/18_line_HG_l_21_h_15.png","18_line_HG_l_21_h_15.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask71.png"
"72","all_plots/18_line_LG_l_5_h_3.png","18_line_LG_l_5_h_3.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask72.png"
"73","all_plots/19_bar_HG_l_4_h_22.png","19_bar_HG_l_4_h_22.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask73.png"
"74","all_plots/19_bar_LG_l_4_h_9.png","19_bar_LG_l_4_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask74.png"
"75","all_plots/19_line_HG_l_4_h_22.png","19_line_HG_l_4_h_22.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask75.png"
"76","all_plots/19_line_LG_l_4_h_9.png","19_line_LG_l_4_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask76.png"
"77","all_plots/20_bar_HG_l_13_h_28.png","20_bar_HG_l_13_h_28.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask77.png"
"78","all_plots/20_bar_LG_l_8_h_6.png","20_bar_LG_l_8_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask78.png"
"79","all_plots/20_line_HG_l_13_h_28.png","20_line_HG_l_13_h_28.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask79.png"
"80","all_plots/20_line_LG_l_8_h_6.png","20_line_LG_l_8_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask80.png"
"81","all_plots/21_bar_HG_l_21_h_9.png","21_bar_HG_l_21_h_9.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask81.png"
"82","all_plots/21_bar_LG_l_7_h_9.png","21_bar_LG_l_7_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask82.png"
"83","all_plots/21_line_HG_l_21_h_9.png","21_line_HG_l_21_h_9.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask83.png"
"84","all_plots/21_line_LG_l_7_h_9.png","21_line_LG_l_7_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask84.png"
"85","all_plots/22_bar_HG_l_36_h_28.png","22_bar_HG_l_36_h_28.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask85.png"
"86","all_plots/22_bar_LG_l_1_h_3.png","22_bar_LG_l_1_h_3.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask86.png"
"87","all_plots/22_line_HG_l_36_h_28.png","22_line_HG_l_36_h_28.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask87.png"
"88","all_plots/22_line_LG_l_1_h_3.png","22_line_LG_l_1_h_3.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask88.png"
"89","all_plots/23_bar_HG_l_29_h_10.png","23_bar_HG_l_29_h_10.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask89.png"
"90","all_plots/23_bar_LG_l_2_h_10.png","23_bar_LG_l_2_h_10.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask90.png"
"91","all_plots/23_line_HG_l_29_h_10.png","23_line_HG_l_29_h_10.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask91.png"
"92","all_plots/23_line_LG_l_2_h_10.png","23_line_LG_l_2_h_10.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask92.png"
"93","all_plots/24_bar_HG_l_18_h_40.png","24_bar_HG_l_18_h_40.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask93.png"
"94","all_plots/24_bar_LG_l_2_h_6.png","24_bar_LG_l_2_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask94.png"
"95","all_plots/24_line_HG_l_18_h_40.png","24_line_HG_l_18_h_40.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask95.png"
"96","all_plots/24_line_LG_l_2_h_6.png","24_line_LG_l_2_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask96.png"
"97","all_plots/25_bar_HG_l_21_h_6.png","25_bar_HG_l_21_h_6.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask97.png"
"98","all_plots/25_bar_LG_l_9_h_6.png","25_bar_LG_l_9_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask98.png"
"99","all_plots/25_line_HG_l_21_h_6.png","25_line_HG_l_21_h_6.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask99.png"
"100","all_plots/25_line_LG_l_9_h_6.png","25_line_LG_l_9_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask100.png"
"101","all_plots/26_bar_HG_l_14_h_36.png","26_bar_HG_l_14_h_36.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask101.png"
"102","all_plots/26_bar_LG_l_1_h_3.png","26_bar_LG_l_1_h_3.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask102.png"
"103","all_plots/26_line_HG_l_14_h_36.png","26_line_HG_l_14_h_36.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask103.png"
"104","all_plots/26_line_LG_l_1_h_3.png","26_line_LG_l_1_h_3.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask104.png"
"105","all_plots/27_bar_HG_l_8_h_17.png","27_bar_HG_l_8_h_17.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask105.png"
"106","all_plots/27_bar_LG_l_8_h_1.png","27_bar_LG_l_8_h_1.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask106.png"
"107","all_plots/27_line_HG_l_8_h_17.png","27_line_HG_l_8_h_17.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask107.png"
"108","all_plots/27_line_LG_l_8_h_1.png","27_line_LG_l_8_h_1.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask108.png"
"109","all_plots/28_bar_HG_l_1_h_19.png","28_bar_HG_l_1_h_19.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask109.png"
"110","all_plots/28_bar_LG_l_1_h_10.png","28_bar_LG_l_1_h_10.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask110.png"
"111","all_plots/28_line_HG_l_1_h_19.png","28_line_HG_l_1_h_19.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask111.png"
"112","all_plots/28_line_LG_l_1_h_10.png","28_line_LG_l_1_h_10.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask112.png"
"113","all_plots/29_bar_HG_l_40_h_11.png","29_bar_HG_l_40_h_11.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask113.png"
"114","all_plots/29_bar_LG_l_6_h_8.png","29_bar_LG_l_6_h_8.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask114.png"
"115","all_plots/29_line_HG_l_40_h_11.png","29_line_HG_l_40_h_11.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask115.png"
"116","all_plots/29_line_LG_l_6_h_8.png","29_line_LG_l_6_h_8.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask116.png"
"117","all_plots/30_bar_HG_l_39_h_9.png","30_bar_HG_l_39_h_9.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask117.png"
"118","all_plots/30_bar_LG_l_1_h_9.png","30_bar_LG_l_1_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask118.png"
"119","all_plots/30_line_HG_l_39_h_9.png","30_line_HG_l_39_h_9.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask119.png"
"120","all_plots/30_line_LG_l_1_h_9.png","30_line_LG_l_1_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask120.png"
"121","all_plots/31_bar_HG_l_14_h_2.png","31_bar_HG_l_14_h_2.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask121.png"
"122","all_plots/31_bar_LG_l_8_h_2.png","31_bar_LG_l_8_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask122.png"
"123","all_plots/31_line_HG_l_14_h_2.png","31_line_HG_l_14_h_2.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask123.png"
"124","all_plots/31_line_LG_l_8_h_2.png","31_line_LG_l_8_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask124.png"
"125","all_plots/32_bar_HG_l_24_h_40.png","32_bar_HG_l_24_h_40.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask125.png"
"126","all_plots/32_bar_LG_l_5_h_6.png","32_bar_LG_l_5_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask126.png"
"127","all_plots/32_line_HG_l_24_h_40.png","32_line_HG_l_24_h_40.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask127.png"
"128","all_plots/32_line_LG_l_5_h_6.png","32_line_LG_l_5_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask128.png"
"129","all_plots/33_bar_HG_l_9_h_25.png","33_bar_HG_l_9_h_25.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask129.png"
"130","all_plots/33_bar_LG_l_9_h_4.png","33_bar_LG_l_9_h_4.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask130.png"
"131","all_plots/33_line_HG_l_9_h_25.png","33_line_HG_l_9_h_25.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask131.png"
"132","all_plots/33_line_LG_l_9_h_4.png","33_line_LG_l_9_h_4.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask132.png"
"133","all_plots/34_bar_HG_l_18_h_2.png","34_bar_HG_l_18_h_2.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask133.png"
"134","all_plots/34_bar_LG_l_5_h_2.png","34_bar_LG_l_5_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask134.png"
"135","all_plots/34_line_HG_l_18_h_2.png","34_line_HG_l_18_h_2.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask135.png"
"136","all_plots/34_line_LG_l_5_h_2.png","34_line_LG_l_5_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask136.png"
"137","all_plots/35_bar_HG_l_2_h_9.png","35_bar_HG_l_2_h_9.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask137.png"
"138","all_plots/35_bar_LG_l_2_h_9.png","35_bar_LG_l_2_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask138.png"
"139","all_plots/35_line_HG_l_2_h_9.png","35_line_HG_l_2_h_9.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask139.png"
"140","all_plots/35_line_LG_l_2_h_9.png","35_line_LG_l_2_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask140.png"
"141","all_plots/36_bar_HG_l_6_h_40.png","36_bar_HG_l_6_h_40.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask141.png"
"142","all_plots/36_bar_LG_l_6_h_7.png","36_bar_LG_l_6_h_7.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask142.png"
"143","all_plots/36_line_HG_l_6_h_40.png","36_line_HG_l_6_h_40.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask143.png"
"144","all_plots/36_line_LG_l_6_h_7.png","36_line_LG_l_6_h_7.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask144.png"
"145","all_plots/37_bar_HG_l_14_h_25.png","37_bar_HG_l_14_h_25.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask145.png"
"146","all_plots/37_bar_LG_l_2_h_6.png","37_bar_LG_l_2_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask146.png"
"147","all_plots/37_line_HG_l_14_h_25.png","37_line_HG_l_14_h_25.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask147.png"
"148","all_plots/37_line_LG_l_2_h_6.png","37_line_LG_l_2_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask148.png"
"149","all_plots/38_bar_HG_l_24_h_34.png","38_bar_HG_l_24_h_34.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask149.png"
"150","all_plots/38_bar_LG_l_2_h_10.png","38_bar_LG_l_2_h_10.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask150.png"
"151","all_plots/38_line_HG_l_24_h_34.png","38_line_HG_l_24_h_34.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask151.png"
"152","all_plots/38_line_LG_l_2_h_10.png","38_line_LG_l_2_h_10.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask152.png"
"153","all_plots/39_bar_HG_l_30_h_16.png","39_bar_HG_l_30_h_16.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask153.png"
"154","all_plots/39_bar_LG_l_4_h_6.png","39_bar_LG_l_4_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask154.png"
"155","all_plots/39_line_HG_l_30_h_16.png","39_line_HG_l_30_h_16.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask155.png"
"156","all_plots/39_line_LG_l_4_h_6.png","39_line_LG_l_4_h_6.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask156.png"
"157","all_plots/40_bar_HG_l_34_h_18.png","40_bar_HG_l_34_h_18.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask157.png"
"158","all_plots/40_bar_LG_l_4_h_2.png","40_bar_LG_l_4_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask158.png"
"159","all_plots/40_line_HG_l_34_h_18.png","40_line_HG_l_34_h_18.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask159.png"
"160","all_plots/40_line_LG_l_4_h_2.png","40_line_LG_l_4_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask160.png"
"161","all_plots/41_bar_HG_l_15_h_39.png","41_bar_HG_l_15_h_39.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask161.png"
"162","all_plots/41_bar_LG_l_4_h_2.png","41_bar_LG_l_4_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask162.png"
"163","all_plots/41_line_HG_l_15_h_39.png","41_line_HG_l_15_h_39.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask163.png"
"164","all_plots/41_line_LG_l_4_h_2.png","41_line_LG_l_4_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask164.png"
"165","all_plots/42_bar_HG_l_35_h_23.png","42_bar_HG_l_35_h_23.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask165.png"
"166","all_plots/42_bar_LG_l_8_h_2.png","42_bar_LG_l_8_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask166.png"
"167","all_plots/42_line_HG_l_35_h_23.png","42_line_HG_l_35_h_23.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask167.png"
"168","all_plots/42_line_LG_l_8_h_2.png","42_line_LG_l_8_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask168.png"
"169","all_plots/43_bar_HG_l_24_h_31.png","43_bar_HG_l_24_h_31.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask169.png"
"170","all_plots/43_bar_LG_l_3_h_2.png","43_bar_LG_l_3_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask170.png"
"171","all_plots/43_line_HG_l_24_h_31.png","43_line_HG_l_24_h_31.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask171.png"
"172","all_plots/43_line_LG_l_3_h_2.png","43_line_LG_l_3_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask172.png"
"173","all_plots/44_bar_HG_l_12_h_37.png","44_bar_HG_l_12_h_37.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask173.png"
